;Full Name;Gender;Collection;Keeper;Historian Entity
0;Maria Accascina;female;;Comune di Palermo;Q98804253
1;Leonardo Agostini;male;;Scuola Normale Superiore;Q1054161
2;Vittorio  Alfieri;male;;Biblioteca Medicea Laurenziana;
3;Giuseppe Alinari;male;Archivio Alinari;Museo Nazionale Alinari della Fotografia;Q18934975
4;Leopoldo Alinari;male;Archivio Alinari;Museo Nazionale Alinari della Fotografia;Q16164590
5;Francesco Arcangeli;male;Fondo speciale Angelo, Gaetano, Bianca e Francesco Arcangeli;Biblioteca comunale dell'Archiginnasio;Q1121086
6;Pietro Aretino;male;Fondo Bongi;State Archives of Lucca;
7;Giulio Carlo Argan;male;;Archivio privato a Roma;Q778445
8;Paolo Enrico Arias;male;;Scuola Normale Superiore;Q3894011
9;Giovanni   Baglione;male;;Archivio di Stato di Roma;
10;Filippo Baldinucci;male;;National Central Library of Florence;Q979574
11;Baccio Bandinelli;male;;State Archives of Siena;
12;Luisa  Banti;female;;University of Florence;
13;Paola Barocchi;female;;Scuola Normale Superiore;Q19754060
14;Costantino Baroni;male;;Società Storica Lombarda;Q17279844
15;Luciano Bellosi;male;Archivio Luciano Bellosi;University of Siena;Q1058859
16;Achille Bertini Calosso;male;Fondo Bertini Calosso;Biblioteca di archeologia e storia dell'arte;Q19753744
17;Ranuccio Bianchi Bandinelli;male;Fondo Ranuccio Bianchi Bandinelli;State Archives of Siena;Q471179
18;Giovanni Ludovico  Bianconi;male;;Getty Research Institute;
19;Antonio Billi;male;;National Central Library of Florence;Q18934852
20;Michelangelo Biondo;male;;Bibliothèque nationale de France;
21;Antonio Bolognini Amorini;male;Archivio Cincinnato Baruzzi;Biblioteca comunale dell'Archiginnasio;Q16268197
22;Giacomo Boni;male;Boni-Tea Archive;Lombard Institute Academy of Science and Letters;Q572091
23;Raffaello Borghini;male;;Fondazione Memofonte;
24;Marco  Boschini;male;;University Library Heidelberg;
25;Giuseppe Bossi;male;Fondo Giuseppe Bossi;Ambrosian Library;Q428638
26;Anna Maria Brizio;female;Fondo Brizio;University of Milan;Q3617742
27;Edoardo Brizio;male;Archivio Edoardo Brizio;Biblioteca comunale dell'Archiginnasio;Q15992519
28;Palma Bucarelli;female;Fondo Bucarelli Palma;Central Archives of the State;Q3892735
29;Omar Calabrese;male;Fondo Omar Calabrese;University of Siena;Q3737564
30;Girolamo Luigi Calvi;male;Carte di Girolamo Luigi Calvi;University of Milan;Q87207694
31;Giuseppe Campori;male;Fondo speciale Giuseppe Campori;Biblioteca comunale dell'Archiginnasio;Q1010831
32;Enzo Carli;male;Fondo Carli Enzo;University of Siena;Q3055532
33;Guido Carocci;male;Fondo Carocci Guido;Biblioteca degli Uffizi di Firenze;Q3779219
34;Baldassarre Castiglione;male;Archivio Pubblico Castiglioni;National Archives Mantua;
35;Emilio Cecchi;male;Fondo Emilio Cecchi;Gabinetto scientifico letterario G. P. Vieusseux. Archivio contemporaneo Alessandro Bonsanti, Firenze (FI);Q708563
36;Luigi Palma di  Cesnola;male;Luigi Palma Collection;Metropolitan Museum of Art;
37;Leopoldo Cicognara;male;Leopoldo Cicognara letters;Getty Research Institute;Q2754987
38;Luigi Coletti;male;Fondo famiglia Coletti;Fondazione Benetton;Q913963
39;Ascanio Condivi;male;Fondo Ascanio Condivi;Comune di Ripatransone, Ripatransone (AP);Q721545
40;Benedetto Croce;male;;"Fondazione ""Biblioteca Benedetto Croce""";Q192348
41;Paolo d'Ancona;male;;Lombardia Beni Culturali;Q17453085
42;Pierluigi De Vecchi;male;Fondo De Vecchi;University of Milan;Q19754082
43;Gioacchino  Di Marzo;male;;BEIC Digital Library;
44;Bartolomeo Facio;male;;Lincean Academy;Q809500
45;Maurizio Fagiolo dell'Arco;male;;Galleria Nazionale d'Arte Moderna e Contemporanea;Q3852590
46;Filarete;male;;The Nelson-Atkins Museum of Art;
47;Giuseppe Fiocco;male;;BEIC Digital Library;Q3770555
48;Alessandro François;male;;JSTOR;Q1757617
49;Gustavo Frizzoni;male;;University Library Heidelberg;Q1555828
50;Carlo Fea;male;;BEIC Digital Library;Q470377
51;Francesco Maria Niccolò Gabburri;male;;Fondazione Memofonte;
52;Carlo Gamba;male;;Biblioteca Marucelliana;Q19753788
53;Graziano Gasparini;male;;Museo Nacional Centro de Arte Reina Sofía;
54;Giambattista Gelli;male;;BEIC Digital Library;
55;Giulio Giglioli;male;;Biblioteca di archeologia e storia dell'arte;Q2019868
56;Giovanni Battista Cavalcaselle;male;;Biblioteca Nazionale Marciana;Q1372695
57;Gustavo Giovannoni;male;;Centro studi per la storia dell'architettura. Casa dei Crescenzi, Roma (RM);Q1556779
58;Umberto Gnoli;male;;Galleria Nazionale d'Arte Moderna e Contemporanea;Q19754125
59;Cesare  Gnudi;male;;BEIC Digital Library;
60;Antonio Francesco Gori;male;;BEIC Digital Library;Q778529
61;Michelangelo Gualandi;male;;Biblioteca dell'Archiginnasio;Q19997569
62;Mario Guarnacci;male;;Biblioteca Guarnacci (Volterra) ;Q3293459
63;Lodovico Guicciardini;male;ASR historic collection;Comune di Varese. Biblioteca civica, Varese (VA);Q940660
64;Rodolfo Lanciani;male;;BEIC Digital Library;Q481474
65;Cristoforo Landino;male;;BEIC Digital Library;Q711964
66;Luigi Lanzi;male;;Archivio di Stato di Terni;Q972400
67;Pirro Ligorio;male;;Pirro Ligorio;
68;Gian Paolo  Lomazzo;male;;"Ente ""Raccolta vinciana""";
69;Roberto Longhi;male;;Fondazione di studi di storia dell'arte Roberto Longhi;Q1361667
70;Licisco Magagnato;male;;Castelvecchio Museum;Q19997557
71;Corrado Maltese;male;;Tor Vergata University of Rome;Q3694262
72;Carlo Cesare Malvasia;male;;Biblioteca Nazionale Marciana;Q1160847
73;Giulio Mancini;male;;BEIC Digital Library;Q3769699
74;Alessandro Marabottini;male;;Fondazione Cassa di Risparmio di Perugia;Q19753755
75;Margherita Sarfatti;female;;Museum of Modern and Contemporary Art of Trento and Rovereto;
76;Valerio Mariani;male;;University of Udine;Q4007892
77;Gaetano  Milanesi;male;;Biblioteca comunale degli Intronati ;
78;Francesco Milizia;male;;Biblioteca statale di Lucca;Q323009
79;Ugo  Monneret de Villard;male;;Biblioteca di archeologia e storia dell'arte;
80;Michaelangelo  Muraro;male;;University of Udine;
81;Fulvio Orsini;male;;BEIC Digital Library;Q2262449
82;Massimo Pallottino;male;Fondo Pallottino Massimo;Central Archives of the State;Q679576
83;Rodolfo Pallucchini;male;Fondo librario Rodolfo Pallucchini;University of Udine;Q3438258
84;Roberto Pane;male;Biblioteca Pane;University of Naples Federico II;Q3939032
85;Enrico Paribeni;male;Archivio Enrico Paribeni;University of Florence;Q16746271
86;Lione  Pascoli;male;;Getty Research Institute;
87;Giovanni Battista Passeri;male;Fototeca Zeri;Fondazione Federico Zeri;Q3766088
88;Charlotte-Catherine Patin;female;;Getty Research Institute;Q2960929
89;Carlo Pedretti;male;;Nuova Fondazione Rossana e Carlo Pedretti;Q183433
90;Carlo  Pietrangeli;male;Fondo Pietrangeli Carlo ;Sezione di Archivio di Stato di Spoleto;
91;Mary Pittaluga;female;Fondo Pittaluga Mary;Biblioteca Marucelliana;Q16271446
92;Giovanni Poggi;male;Fondo Giovanni Poggi;Centro di documentazione della Soprintendenza speciale per il Polo museale Fiorentino;Q19753888
93;Paolo Portoghesi;male;Fondo Paolo Portoghesi;Archivio privato di Calcata;Q176938
94;Mario Praz;male;;Museo Mario Praz;Q981971
95;Giovanni Previtali;male;Fondo Giovanni Previtali;University of Siena;Q3107317
96;Ugo Procacci;male;;Camaiore Religious Art Museum;Q2474041
97;Corrado Ricci;male;Fondo Corrado Ricci;Istituto Nazionale di Archeologia e Storia dell’Arte (INASA);Q3694305
98;Carlo Ridolfi;male;Fondo Ridolfi di Meleto, famiglia;Archivio privato di Meleto;Q776990
99;Enrico Ridolfi;male;Fondo Enrico Ridolfi;Biblioteca statale di Lucca;Q7002138
100;Luigi Salerno;male;;Getty Research Institute;Q6700132
101;Mario Salmi;male;;Biblioteca dell'Istituto Nazionale di Studi sul Rinascimento;Q3849075
102;Giovanni Santi;male;;El Paternal Mio Nido;
103;Pietro Selvatico;male;Fondo Milanesi Carlo;Biblioteca comunale degli Intronati;Q3904250
104;Igino Benvenuto Supino;male;Fondo fotografico Igino Supino;Università di Bologna;Q15997104
105;Nello   Tarchiani;male;Fondo Nello Tarchiani;Archivio contemporaneo Alessandro Bonsanti;
106;Eva Tea;female;Lascito Eva Tea - Giacomo Boni;Istituto Lombardo Accademia di Scienze e Lettere;Q59533611
107;Giuseppe Tucci;male;Archivio fotografico Giuseppe Tucci;Biblioteca Nazionale Centrale di Roma;Q715146
108;Giorgio  Vasari;male;Archivio Vasari;Casa museo Vasari, Arezzo (AR);
109;Adolfo Venturi;male;Fondo Adolfo Venturi;Scuola Normale Superiore;Q2824734
110;Lionello Venturi;male;Archivio Lionello Venturi;"Università degli Studi di Roma ""La Sapienza""";Q2527217
111;Filippo Villani;male;Fondo Filippo Villani;Comune di Milano. Archivio civico, Milano (MI);Q508702
112;Filippo Aurelio Visconti;male;;Archivi Vaticani;Q19753851
113;Giovanni Battista Visconti;male;;Musei Vaticani;Q177450
114;Marisa Volpi;female;;Archivio Marisa Volpi;Q3849335
115;Antonio Maria Zanetti;male;;Biblioteca Nazionale Marciana;Q944948
116;Federico Zeri;male;Federico Zeri Archives;Fondazione Federico Zeri;Q1089074
117;Bruno Zevi;male;Archivio Bruno Zevi;Fondazione Bruno Zevi;Q558155
